alloy,al_percent,Ag,B,Be,Bi,Ca,Cd,Ce,Cr,Cu,Fe,Ge,Li,Mg,Mn,Na,Ni,O,Pb,Sc,Si,Ti,V,Y,Zn,Zr
5754,95.8,0,0,0,0,0,0,0,0.3,0,0,0,0,3.1,0.5,0,0,0,0,0,0,0,0,0,0,0
6005,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.8,0,0,0,0,0
6009,97.7,0,0,0,0,0,0,0,0,0.35,0,0,0,0.6,0.5,0,0,0,0,0,0.8,0,0,0,0,0
6010,97.3,0,0,0,0,0,0,0,0,0.35,0,0,0,0.7,0.5,0,0,0,0,0,1,0,0,0,0,0
6013,97.05,0,0,0,0,0,0,0,0,0.8,0,0,0,1,0.35,0,0,0,0,0,0.8,0,0,0,0,0
6022,97.9,0,0,0,0,0,0,0,0,0.05,0.3,0,0,0.6,0.05,0,0,0,0,0,1.1,0,0,0,0,0
6060,98.9,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0.4,0,0,0,0,0
6061,97.9,0,0,0,0,0,0,0,0.2,0.25,0,0,0,1,0,0,0,0,0,0,0.6,0,0,0,0,0
6063,98.9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.4,0,0,0,0,0
6063A,98.7,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,0,0,0,0,0,0.4,0,0,0,0,0
6065,97.1,0,0,0,1,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0.6,0,0,0,0,0
6066,95.7,0,0,0,0,0,0,0,0,1,0,0,0,1.1,0.8,0,0,0,0,0,1.4,0,0,0,0,0
6070,96.8,0,0,0,0,0,0,0,0,0.28,0,0,0,0.8,0.7,0,0,0,0,0,1.4,0,0,0,0,0
6081,98.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0.9,0,0,0,0,0
6082,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.65,0,0,0,0,0,1,0,0,0,0,0
6101,98.9,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.5,0,0,0,0,0
6105,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0.8,0,0,0,0,0
6113,96.8,0,0,0,0,0,0,0,0,0.8,0,0,0,1,0.35,0,0,0.2,0,0,0.8,0,0,0,0,0
6151,98.2,0,0,0,0,0,0,0,0.25,0,0,0,0,0.6,0,0,0,0,0,0,0.9,0,0,0,0,0
6162,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.55,0,0,0,0,0
6201,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.7,0,0,0,0,0
6205,98.4,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0.1,0,0,0,0,0,0.8,0,0,0,0,0.1
6262,96.8,0,0,0,0.6,0,0,0,0.1,0.25,0,0,0,1,0,0,0,0,0.6,0,0.6,0,0,0,0,0
6351,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,1,0,0,0,0,0
6463,98.9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.4,0,0,0,0,0
6951,97.2,0,0,0,0,0,0,0,0,0.3,0.8,0,0,0.7,0.1,0,0,0,0,0,0.5,0,0,0,0.2,0
7005,93.3,0,0,0,0,0,0,0,0.13,0,0,0,0,1.4,0.45,0,0,0,0,0,0,0.04,0,0,4.5,0.14
7010,93.3,0,0,0,0,0,0,0,0,1.7,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,6.2,0.1
7022,88,0,0,0,0,0,0,0,0.3,1,0.5,0,0,3.7,0.4,0,0,0,0,0,0.5,0.2,0,0,5.2,0.2
7034,85.7,0,0,0,0,0,0,0,0,1,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,11,0
7039,92.3,0,0,0,0,0,0,0,0.2,0,0,0,0,3.3,0.2,0,0,0,0,0,0,0,0,0,4,0
7049,88.1,0,0,0,0,0,0,0,0.15,1.6,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,7.7,0
